car_name,car_details_url,car_price,car_mileage,car_registration_model,car_emission_class,car_body_type,car_seating_capacity,car_engine_type,car_fuel_type,car_images
Vauxhall Combo Life,https://www.autotrader.co.uk/car-details/202307250054354?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£14,069","41,566 miles (Above Average: 28,617 miles )",2021 (70 reg),Euro 6,MPV,5,1.2L,Petrol,"https://m.atcdn.co.uk/a/media/w768/f9f26cee0c2d442a8e65e010e081da90.jpg, https://m.atcdn.co.uk/a/media/w768/24adaf5af78746848252be526a9cc617.jpg, https://m.atcdn.co.uk/a/media/w768/b35fe4fcc35141d190a998a9c22088fe.jpg, https://m.atcdn.co.uk/a/media/w768/58ece8e20638492ba698607d5c48cc47.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202309162052033?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£7,988","184,000 miles (Above Average: 114,464 miles )",2014 (14 reg),Euro 5,MPV,7,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/f5c7b670e07a43f2a2321e69570af351.jpg, https://m.atcdn.co.uk/a/media/w768/473f9bb917004a159a7e18a6498098cc.jpg, https://m.atcdn.co.uk/a/media/w768/dd7420c36959404e9d840567d86c7057.jpg, https://m.atcdn.co.uk/a/media/w768/a56e8430245340bca4aeae59ff83c734.jpg"
Volkswagen Caddy Maxi,https://www.autotrader.co.uk/car-details/202310193136937?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£13,990","53,000 miles (Above Average: 5,087 miles )",2015 (65 reg),Euro 5,MPV,5,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/78ebe9a1ba17498cb8617f5a517bd47e.jpg, https://m.atcdn.co.uk/a/media/w768/37097d37fcb9404db9d615ea9aaac8f0.jpg, https://m.atcdn.co.uk/a/media/w768/4543462c3b2e4098a773dd5b05c18147.jpg, https://m.atcdn.co.uk/a/media/w768/12e5c520d42841c9aa849f2296ce68ba.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202308020357710?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£10,000","121,000 miles (Above Average: 31,575 miles )",2012 (61 reg),Euro 5,Combi Van,5,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/0ae88e756dd44fbc89ece95d70cc3fcb.jpg, https://m.atcdn.co.uk/a/media/w768/985b0b1319344461ae09fd3dc9886e5e.jpg, https://m.atcdn.co.uk/a/media/w768/196e5b8c5b0044fda85daa7501fd80f7.jpg, https://m.atcdn.co.uk/a/media/w768/485c3356851d4554a9c23207c8fa68f9.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202212072343408?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£14,000","107,900 miles (Above Average: 41,437 miles )",2014 (64 reg),Euro 5,MPV,5,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/2526ab07f5c548339ec21825fedc7c4b.jpg, https://m.atcdn.co.uk/a/media/w768/555cdd92cc3e44638038cb4520bc7067.jpg, https://m.atcdn.co.uk/a/media/w768/88a184476c3f4780a0a40432f407b016.jpg, https://m.atcdn.co.uk/a/media/w768/e68e982b7ec04d168b15b5d5a3e0d37d.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310022559717?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£24,990","55,689 miles (Above Average: 23,150 miles )",2019 (19 reg),Euro 6,MPV,7,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/55f72bb9391140dc987692af21806977.jpg, https://m.atcdn.co.uk/a/media/w768/f357ad464a9e4f36b3fa8879947dee97.jpg, https://m.atcdn.co.uk/a/media/w768/c3318f5b2341464592b5affd0f196cac.jpg, https://m.atcdn.co.uk/a/media/w768/4ac014e01a6345e4a1264b4d134677ec.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310183125999?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£13,492","66,681 miles (Above Average: 606 miles )",2014 (14 reg),Euro 5,MPV,7,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/07cde8a109664684be0ab44ee8e69f19.jpg, https://m.atcdn.co.uk/a/media/w768/46780abbca674b939f992f22c0de6006.jpg, https://m.atcdn.co.uk/a/media/w768/8da2ab228f1a44beaf7518c34c381107.jpg, https://m.atcdn.co.uk/a/media/w768/766284573747472e92cbd86a56112621.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310082788184?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£13,690","37,530 miles (Above Average: 27,728 miles )",2014 (64 reg),Euro 5,MPV,5,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/89456de9f6e148538694f407f0d04626.jpg, https://m.atcdn.co.uk/a/media/w768/e564a2a39ce64cad95e7490edba1f824.jpg, https://m.atcdn.co.uk/a/media/w768/98bcadcf77c04a7eb07ffb89f95bab79.jpg, https://m.atcdn.co.uk/a/media/w768/df6c3515a2504b3283e95a0582021c8a.jpg"
Volkswagen Caddy Maxi,https://www.autotrader.co.uk/car-details/202310062727381?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£16,470","77,712 miles (Above Average: 32,218 miles )",2017 (17 reg),Euro 6,MPV,7,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/0d2b1ca03b5b4c6087d0dc1758466635.jpg, https://m.atcdn.co.uk/a/media/w768/6f9fa9d3b773444db2c04f0446d25c4e.jpg, https://m.atcdn.co.uk/a/media/w768/8fa448590a7d4f1da2734163d958b80e.jpg, https://m.atcdn.co.uk/a/media/w768/8ea76ca5c63f48af9428bbea13e79407.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202309262366244?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£19,058","44,137 miles (Above Average: 4,810 miles )",2018 (18 reg),Euro 6,MPV,7,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/6bbd49ef8dd1473193359ac29fff4e30.jpg, https://m.atcdn.co.uk/a/media/w768/3895fde5e5114a19abe516aabfd8bfde.jpg, https://m.atcdn.co.uk/a/media/w768/e64d99c987ba444bacc8b101ec2ea74c.jpg, https://m.atcdn.co.uk/a/media/w768/b9b446ffe021408ea6783798b904510d.jpg"
Volkswagen Caddy Maxi,https://www.autotrader.co.uk/car-details/202310062727381?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£16,470","77,712 miles (Above Average: 32,218 miles )",2017 (17 reg),Euro 6,MPV,7,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/0d2b1ca03b5b4c6087d0dc1758466635.jpg, https://m.atcdn.co.uk/a/media/w768/6f9fa9d3b773444db2c04f0446d25c4e.jpg, https://m.atcdn.co.uk/a/media/w768/8fa448590a7d4f1da2734163d958b80e.jpg, https://m.atcdn.co.uk/a/media/w768/8ea76ca5c63f48af9428bbea13e79407.jpg"
Vauxhall Combo Life,https://www.autotrader.co.uk/car-details/202307250054354?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=2&postcode=SW1W%200NY&fromsra,"£14,069","41,566 miles (Above Average: 28,617 miles )",2021 (70 reg),Euro 6,MPV,5,1.2L,Petrol,"https://m.atcdn.co.uk/a/media/w768/f9f26cee0c2d442a8e65e010e081da90.jpg, https://m.atcdn.co.uk/a/media/w768/24adaf5af78746848252be526a9cc617.jpg, https://m.atcdn.co.uk/a/media/w768/b35fe4fcc35141d190a998a9c22088fe.jpg, https://m.atcdn.co.uk/a/media/w768/58ece8e20638492ba698607d5c48cc47.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202309302533463?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=3&postcode=SW1W%200NY&fromsra,"£12,995","75,800 miles (Above Average: 28,619 miles )",2017 (17 reg),Euro 6,MPV,7,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/026cf26486224c65b9edc0d3a2739fe5.jpg, https://m.atcdn.co.uk/a/media/w768/c675653e75d94395aed3285a5927c070.jpg, https://m.atcdn.co.uk/a/media/w768/d76f4a2e6ad64dd5a61f0c4003e9d048.jpg, https://m.atcdn.co.uk/a/media/w768/0ad0a4f1d81c4eb4a47f16aff5c3f76d.jpg"
Volkswagen Caddy Maxi,https://www.autotrader.co.uk/car-details/202310092813876?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=3&postcode=SW1W%200NY&fromsra,"£8,989","88,607 miles (Above Average: 6,136 miles )",2012 (12 reg),Euro 5,MPV,7,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/817997655dcc4cbcb4d0c2eae99d98b2.jpg, https://m.atcdn.co.uk/a/media/w768/543fc0582c0d46d29013ce61598456ae.jpg, https://m.atcdn.co.uk/a/media/w768/002ffb7ebadd4cb188ae03e806ec6fef.jpg, https://m.atcdn.co.uk/a/media/w768/15ec0d58a2a14dc3961c6fa80dac72ab.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310203183888?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=3&postcode=SW1W%200NY&fromsra,"£20,945","36,956 miles (Above Average: 9,361 miles )",2017 (17 reg),Euro 6,MPV,7,2.0L,Diesel,https://m.atcdn.co.uk/a/media/w768/38a11d077430462fa59ba1711778309e.jpg
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310032612888?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=3&postcode=SW1W%200NY&fromsra,"£24,888","14,759 miles (Above Average: 7,074 miles )",2020 (70 reg),Euro 6,MPV,7,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/cab4f85852774188a4310e537f021435.jpg, https://m.atcdn.co.uk/a/media/w768/e183268101404798a8f376f76ba97705.jpg, https://m.atcdn.co.uk/a/media/w768/80d5dbddb6da4af59b7d6130b4c0242e.jpg, https://m.atcdn.co.uk/a/media/w768/6afd00cdf15142d78e589fff13a5f3ed.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310092819303?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=3&postcode=SW1W%200NY&fromsra,"£22,440","11,470 miles (Above Average: 18,297 miles )",2019 (69 reg),Euro 6,MPV,5,2.0L,Diesel,https://m.atcdn.co.uk/a/media/w768/8b3f8c64eb714c84a30a52a5ca87c1df.jpg
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202309081720546?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=3&postcode=SW1W%200NY&fromsra,"£8,995","119,842 miles (Above Average: 54,926 miles )",2014 (64 reg),Euro 5,MPV,7,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/5295003053bb40c7bd9eb7ba997587ea.jpg, https://m.atcdn.co.uk/a/media/w768/99a6796f0ad744949176a99fb86ff5aa.jpg, https://m.atcdn.co.uk/a/media/w768/9365e1cd1d544415bca5df7fb708c251.jpg, https://m.atcdn.co.uk/a/media/w768/cfe4ea454ba54698b024ca221c8d7180.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310203181465?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=3&postcode=SW1W%200NY&fromsra,"£22,940","22,130 miles (Above Average: 687 miles )",2020 (70 reg),Euro 6,MPV,7,2.0L,Diesel,https://m.atcdn.co.uk/a/media/w768/070829ceebee4f4bb5b5b7a2d0e35d31.jpg
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310022570851?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=3&postcode=SW1W%200NY&fromsra,"£11,490","89,000 miles (Above Average: 25,349 miles )",2015 (64 reg),,,,,Diesel,"https://m.atcdn.co.uk/a/media/w768/3148e94800b84f14bf6c4086c485e910.jpg, https://m.atcdn.co.uk/a/media/w768/70ca945fb23b41b6b83d5a54a2a247da.jpg, https://m.atcdn.co.uk/a/media/w768/edb4aa3842ef49fb84742922b9d70b49.jpg, https://m.atcdn.co.uk/a/media/w768/d4d555b3c62a47508b61b910bce096ec.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202308160870836?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=3&postcode=SW1W%200NY&fromsra,"£7,988","99,000 miles (Above Average: 16,931 miles )",2012 (12 reg),Euro 5,MPV,7,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/0fbb78427fa34d9da6b282b20b27898c.jpg, https://m.atcdn.co.uk/a/media/w768/e222f5886593441ab0ac2cab354a7b52.jpg, https://m.atcdn.co.uk/a/media/w768/fdc2ddb597ff43698e5100662dd5a527.jpg, https://m.atcdn.co.uk/a/media/w768/1dc771cfdd324f6a895effbc224c0198.jpg"
Peugeot Rifter,https://www.autotrader.co.uk/car-details/202310062743117?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=3&postcode=SW1W%200NY&fromsra,"£17,890","23,202 miles (Above Average: 3,407 miles )",2020 (70 reg),Euro 6,MPV,5,1.5L,Diesel,"https://m.atcdn.co.uk/a/media/w768/0edd450613614fb5b818230c1515c72d.jpg, https://m.atcdn.co.uk/a/media/w768/e95c11daaaf54986ab2114dbe087bfdf.jpg, https://m.atcdn.co.uk/a/media/w768/f7a58a16b6f546be88dd0d4f74126e2d.jpg, https://m.atcdn.co.uk/a/media/w768/2a3c4a2b673149f8ac2df2d602da314e.jpg"
Volkswagen Caddy Life,https://www.autotrader.co.uk/car-details/202308170907046?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=4&postcode=SW1W%200NY&fromsra,"£13,480","19,980 miles (Above Average: 44,896 miles )",2014 (64 reg),Euro 5,MPV,7,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/b5186fbce80e4b9fb243bc25958c1bee.jpg, https://m.atcdn.co.uk/a/media/w768/169abbf09ebc4e6fb75b429f2ba3de4f.jpg, https://m.atcdn.co.uk/a/media/w768/f013c6b8bb9a46ad80ec9cd60089b0cd.jpg, https://m.atcdn.co.uk/a/media/w768/b7ef67c3c0d94218ba9328f87d055e66.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310163032628?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=4&postcode=SW1W%200NY&fromsra,"£23,500","24,619 miles (Above Average: 7,478 miles )",2019 (19 reg),Euro 6,MPV,7,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/f156797e2047495f8f43d0d86ac88179.jpg, https://m.atcdn.co.uk/a/media/w768/a9f89f40f6fa4a52916abed4e84374c3.jpg, https://m.atcdn.co.uk/a/media/w768/91635df45bd047c5b0913e04653192d6.jpg, https://m.atcdn.co.uk/a/media/w768/163d4d23475b4fc1b0ebbbf9849996fc.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310062720098?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=4&postcode=SW1W%200NY&fromsra,"£14,895","53,641 miles (Above Average: 10,934 miles )",2015 (64 reg),Euro 5,MPV,7,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/14618b636d314514a70c967375d9db8d.jpg, https://m.atcdn.co.uk/a/media/w768/5b54b88d3a284641a66019cc19e6ad92.jpg, https://m.atcdn.co.uk/a/media/w768/89353e7cdcf24aa9b055f6c7f63bd317.jpg, https://m.atcdn.co.uk/a/media/w768/a6b231665a15448fb34822437efaf125.jpg"
Volkswagen Caddy Maxi,https://www.autotrader.co.uk/car-details/202207127724175?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=4&postcode=SW1W%200NY&fromsra,"£19,990","30,497 miles (Above Average: 11,562 miles )",2018 (67 reg),Euro 6,MPV,7,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/8040d0ec9ae14d0899cf88824ca26097.jpg, https://m.atcdn.co.uk/a/media/w768/47db872fbe954ce589ca3c2cc1cb84ff.jpg, https://m.atcdn.co.uk/a/media/w768/c7535a178749410095a4252de9ec22ed.jpg, https://m.atcdn.co.uk/a/media/w768/b3f16c182a1c4cf1a8f00075bf6277ba.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310173072951?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=4&postcode=SW1W%200NY&fromsra,"£18,445","47,060 miles (Above Average: 9,220 miles )",2016 (65 reg),Euro 6,MPV,5,2.0L,Diesel,https://m.atcdn.co.uk/a/media/w768/c07b981a8ebe437db1542249c3ed45eb.jpg
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202306038104361?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=4&postcode=SW1W%200NY&fromsra,"£24,990","10,000 miles (Above Average: 23,483 miles )",2019 (19 reg),Euro 6,MPV,7,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/38f1aa97de2943baba3748957515827e.jpg, https://m.atcdn.co.uk/a/media/w768/f5fc397a5dd44b19b3a6651c374583fd.jpg, https://m.atcdn.co.uk/a/media/w768/7ae6bf0f0bbb4531adb004bc9986184d.jpg, https://m.atcdn.co.uk/a/media/w768/c66e50741e26455a9912409f55ab22f2.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202310102842708?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=4&postcode=SW1W%200NY&fromsra,"£23,940","33,453 miles (Above Average: 6,699 miles )",2020 (69 reg),Euro 6,MPV,7,2.0L,Diesel,https://m.atcdn.co.uk/a/media/w768/3194df1d8b034a4ba78014ee01bd48e9.jpg
